State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Hindus,Muslims,Christians,Others_Religions,Households_with_Computer,Housholds_with_Electric_Lighting,Urban_Households,Rural_Households,Higher_Education,Graduate_Education,Illiterate_Education,Literate_Education,SC,ST,sex ratio,literacy_rate,Illiterate_rate
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,472,2428589,5262,2260560,148563,6375,52,25425,438606,121509,544024,198963,110817,665058,1691327,187685,542156,95.0,65.0,27.0
Gujarat,Surat,21.25761372772093,72.93488716344339,492,6081322,55694,5260193,660772,21052,3920,149331,1252452,1529998,369840,433651,379505,942150,4495898,158115,856952,79.0,75.0,15.0
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,475,1756268,2975,1620282,109681,1419,128,15309,302068,159810,340788,61164,58389,493427,1189959,179461,21453,93.0,62.0,28.0
Gujarat,The Dangs,20.801633877551023,73.6883518367347,489,228291,137,203545,3593,20029,560,1393,29794,7516,52102,7560,3490,91160,149466,992,216073,101.0,62.0,40.0
Gujarat,Vadodara,22.26133739279589,73.49433010291594,486,4165626,53606,3713941,384579,23813,1124,117818,798277,692971,547454,268451,314960,910219,2868332,221629,1149901,93.0,69.0,22.0
Gujarat,Valsad,20.44238231644259,72.9148584798345,491,1705678,11020,1571147,94034,19661,1417,31285,329218,235981,262410,123281,90912,405928,1093866,38237,902794,92.0,69.0,24.0
Haryana,Ambala,30.3503672316384,76.94970310734456,70,1128350,12899,955096,22143,3705,110,32767,199681,139891,175365,97980,91472,222031,793235,296246,0,88.0,72.0,20.0
Haryana,Bhiwani,28.728868064516128,76.02110225806452,81,1634445,5292,1611031,15515,873,26,25236,266244,99235,357047,148995,104875,459364,1093788,341162,0,89.0,65.0,28.0
Haryana,Faridabad,28.14873109756098,77.32718536585368,88,1809733,43437,1588407,161680,9743,249,82673,333171,382981,87700,178846,259933,346567,1306146,223799,0,87.0,70.0,19.0
Haryana,Fatehabad,29.57298318584072,75.54608716814157,78,942011,3210,779243,8360,996,530,13142,153301,55360,203020,61476,37741,344534,542399,284357,0,90.0,59.0,37.0
Haryana,Gurgaon,28.043894789579163,77.01935130260523,86,1514432,67087,1408801,70842,9725,254,102343,305751,381988,141703,150120,233402,263720,1123831,197937,0,85.0,73.0,17.0
Haryana,Hisar,29.23628731117825,75.84324682779452,80,1743931,10132,1701061,21650,1945,33,33400,285004,154113,302013,144626,105346,505251,1093767,408785,0,87.0,64.0,29.0
Haryana,Jhajjar,28.59651868131869,76.61137142857145,83,958405,5034,945693,8247,734,22,19241,168558,78328,211816,97457,58826,201028,627288,170448,0,86.0,71.0,21.0
Haryana,Jind,29.45149821958457,76.29598575667653,77,1334152,5263,1276669,23016,889,56,23750,222462,89665,278335,107994,64599,419624,815843,282351,0,87.0,62.0,31.0
Haryana,Kaithal,29.96068539094649,76.37698930041155,73,1074304,3724,974520,8232,1769,70,15301,187349,75696,231091,82297,51043,369869,662470,247513,0,88.0,60.0,34.0
Haryana,Karnal,29.703200647249204,76.87488025889972,74,1505324,11163,1341002,31650,2049,49,29253,267223,135920,292682,124790,101387,429220,1004186,339604,0,89.0,65.0,29.0
Haryana,Kurukshetra,30.05652659846548,76.78774680306903,72,964655,7356,805175,15970,1943,106,21951,171908,88268,203553,81964,71007,266638,642789,215128,0,89.0,67.0,28.0
Haryana,Mahendragarh,28.1352161458333,76.14018072916659,84,922088,2624,913251,5660,301,15,13908,135455,44216,223726,94245,60296,245602,654072,156314,0,89.0,68.0,27.0
Haryana,Panchkula,30.700897142857134,76.97173238095236,69,561293,18615,490702,23451,2583,90,32174,103455,93656,70895,48306,83256,119222,388559,101830,0,87.0,72.0,21.0
